Cores,Parallel,,
,Fen 1,Fen 2,Fen 3
16,532852252.4,11362825874,839406255.8
24,505864142,10473784113,812891539.2
28,479203276,10038705302,778062694.2
30,477773811.4,9838630553,765406752.6
31,467237270.8,9688963335,747855539
32,455665024.8,9342160948,731930631
,,,
,,,
,Jamboree,,
,Fen 1,Fen 2,Fen 3
16,71703461.2,989029337,353762188.2
24,68170190,905860549.6,332385412.2
25,67134421.6,891119708,318329662.8
26,69390778.6,873260320,316583546.6
27,67844837.2,876123563.2,316631394.6
28,67293341,869936015.4,313897055.6
32,68424405.6,935140162.8,338057041.4
